avg_gdp_pc_diff,age_effect,initial_effect,final_effect,mort_effect,prod_effect,fert_effect
4776.932065854992,40,20,0,5.0,5.0,0.0
3435.7343361296157,65,10,20,5.0,5.0,0.5
-299.6270701739607,65,20,10,1.0,0.0,1.5
-20.699334861512483,40,20,10,0.0,0.0,0.5
-1031.675643237442,50,0,10,1.0,0.0,1.5
453.9739529506215,40,20,20,1.0,1.0,0.0
6294.511779376528,65,0,20,0.0,5.0,1.5
-5730.725851694677,50,0,0,5.0,0.0,0.5
-898.0370834047319,65,0,0,1.0,0.0,1.5
1670.6915447256774,40,0,20,0.0,1.0,1.5
757.7398808177151,65,10,20,1.0,1.0,0.5
1583.5958388190456,40,10,20,0.0,1.0,1.5
3161.0882496052695,40,0,10,5.0,5.0,0.0
-0.0012248172923656,40,10,20,0.0,0.0,0.0
-3775.939680899898,50,0,0,5.0,1.0,0.0
-2825.4360974969,50,10,0,5.0,1.0,0.5
-729.4372238291544,40,10,20,1.0,0.0,0.0
3280.3854773769685,50,0,10,5.0,5.0,1.5
-84.4722709724031,40,10,20,0.0,0.0,1.5
-1836.5566864802609,40,20,0,5.0,1.0,0.5
-196.87284717456177,40,0,20,0.0,0.0,1.5
465.20614364576096,65,0,0,1.0,1.0,1.5
-3776.450365112497,50,0,0,5.0,1.0,0.5
-3154.988247826475,65,0,0,5.0,1.0,0.0
812.1991592508095,50,0,10,1.0,1.0,1.5
876.4334858966398,40,20,20,0.0,1.0,0.0
-2703.2820128143026,50,0,20,5.0,1.0,0.0
2367.9012276344197,65,0,0,5.0,5.0,1.5
3671.1859075116254,40,20,20,0.0,5.0,0.0
1122.218832494289,65,10,20,0.0,1.0,0.0
2367.9014516571256,65,0,0,5.0,5.0,0.0
2918.234316095574,65,20,20,0.0,5.0,0.5
-786.2029771497431,50,10,10,1.0,0.0,0.5
7864.435289880854,50,0,20,0.0,5.0,0.5
3173.3977639269237,40,20,20,1.0,5.0,1.5
-4427.44924950582,40,10,10,5.0,0.0,0.5
-823.9359027534914,65,0,10,1.0,0.0,0.5
-1179.825434448411,40,10,0,1.0,0.0,1.5
-3813.33186085541,65,10,0,5.0,0.0,1.5
-1212.4332554499672,40,20,20,5.0,1.0,1.5
-671.4051496454617,50,20,0,1.0,0.0,1.5
-2825.182293639561,50,10,0,5.0,1.0,0.0
906.5903444435334,40,10,10,0.0,0.47,0.0
2715.980936479763,65,0,10,5.0,5.0,0.5
-2097.092998594079,40,20,20,5.0,0.0,1.5
0.0391561162347594,65,20,0,0.0,0.0,0.0
-2371.7715401319133,65,10,0,5.0,1.0,1.5
-0.0012248172923656,65,20,20,0.0,0.0,0.0
2879.760310776202,50,0,0,5.0,5.0,0.0
-32.03430084646485,40,10,10,0.0,0.0,0.54
-3301.847436268068,50,10,20,5.0,0.0,0.0
533.6407742632381,65,0,10,1.0,1.0,0.5
-1815.7358831218912,40,20,0,5.0,1.0,0.0
3788.4839421063216,40,10,0,5.0,5.0,1.5
757.7398808177151,65,10,20,1.0,1.0,0.0
0.0389396507664406,65,0,10,0.0,0.0,0.0
3247.2061550545886,40,20,20,1.0,5.0,0.0
7864.727183113996,50,0,20,0.0,5.0,0.0
1672.7309766090475,40,20,20,5.0,5.0,0.0
3073.475670944065,40,0,10,5.0,5.0,0.5
6353.207320791431,65,0,0,0.0,5.0,0.0
-3218.6483227417934,40,10,0,5.0,1.0,1.5
-492.5498759442874,40,20,20,1.0,0.0,1.5
4025.721817031664,40,10,10,5.0,5.0,0.5
-1619.941562626267,50,20,20,5.0,0.0,1.5
1120.3386455225186,40,20,0,1.0,1.0,0.0
-0.2285669062125851,50,0,20,0.0,0.0,0.5
605.1557714581252,65,10,0,1.0,1.0,1.5
-1527.3846402252398,50,20,0,5.0,1.0,1.5
5641.47461564688,65,0,10,1.0,5.0,0.5
745.1500114461371,40,0,10,1.0,1.0,0.5
831.3746996989967,40,0,10,1.0,1.0,0.0
6975.23565723437,50,0,0,1.0,5.0,0.0
807.3962078626764,50,20,20,0.0,1.0,0.0
1082.589856482988,40,10,10,1.0,1.0,0.5
-2123.264883502582,50,10,10,5.0,1.0,0.5
-4013.642335210206,40,0,0,5.0,1.0,0.5
-2770.799337561496,65,0,10,5.0,1.0,0.5
7169.744645159086,50,20,0,1.0,5.0,1.5
2425.5253796083853,40,10,10,2.5,2.5,0.6
-4226.48482427881,65,0,10,5.0,0.0,0.5
3276.9143293568395,50,20,20,1.0,5.0,1.5
-2271.6296847128183,65,20,0,5.0,0.0,0.0
1593.627626618728,40,20,20,5.0,5.0,1.5
7952.901047679623,50,0,0,0.0,5.0,0.0
-843.0562498512431,65,20,20,5.0,0.0,0.0
0.0389396507664406,65,10,10,0.0,0.0,1.5
-0.0012248172923656,50,10,20,0.0,0.0,0.0
1803.3833148947565,50,0,20,0.0,1.0,0.5
1840.3082216103337,40,20,0,0.0,1.0,0.0
382.33921223634667,40,20,20,1.0,1.0,1.5
-5214.387229957805,40,10,0,5.0,0.0,1.5
-4226.485039376899,65,0,10,5.0,0.0,0.0
7074.278352413022,50,0,20,1.0,5.0,0.0
7837.97579773548,40,20,0,0.0,5.0,0.0
-3154.988247826475,65,0,0,5.0,1.0,1.5
1100.5772576594445,40,20,0,1.0,1.0,0.5
-2228.6222009097123,65,10,20,5.0,0.0,0.5
4188.320603500399,65,20,10,1.0,5.0,1.5
7022.137665958565,50,0,10,1.0,5.0,1.5
-897.0012107389006,65,20,0,5.0,1.0,0.5
919.077884513674,50,0,20,1.0,1.0,0.0
5562.276251938783,40,20,10,0.0,5.0,0.5
0.0389396507664406,65,0,20,0.0,0.0,1.5
2879.1985417049686,50,0,0,5.0,5.0,0.5
465.20614364576096,65,0,0,1.0,1.0,0.0
5589.794833078906,65,0,0,1.0,5.0,1.5
1268.9223446154556,50,20,10,0.0,1.0,0.5
6212.444505631429,65,20,0,1.0,5.0,0.5
8600.967479277648,40,0,10,0.0,5.0,0.0
-3317.8280810302904,50,0,10,5.0,1.0,1.5
534.9488666780346,40,10,10,0.5,0.5,0.5
-3627.6445062743014,40,10,20,5.0,0.0,0.0
729.8352533334123,50,0,0,1.0,1.0,0.5
1824.796599872492,50,0,0,0.0,1.0,0.0
-1123.881653611465,50,0,0,1.0,0.0,0.5
730.3924648373961,50,0,0,1.0,1.0,0.0
7001.332739237808,40,10,20,0.0,5.0,1.5
-5269.225835073761,50,0,10,5.0,0.0,1.5
7880.992666977627,50,10,0,0.0,5.0,0.0
8275.044149297235,40,0,20,0.0,5.0,1.5
1333.2074106299926,65,0,0,0.0,1.0,0.0
1321.7793039090272,65,0,20,0.0,1.0,1.5
3435.7343361296157,65,10,20,5.0,5.0,0.0
1609.6935954718197,50,10,20,0.0,1.0,1.5
-1134.47887729509,40,20,20,5.0,1.0,0.0
-750.2690487703727,40,20,0,1.0,0.0,0.5
-4615.835545035129,65,0,0,5.0,0.0,1.5
7168.119075660041,40,20,0,1.0,5.0,0.0
-492.5564724802222,65,20,10,5.0,1.0,0.0
-2703.5414178812007,50,0,20,5.0,1.0,0.5
4062.022582169061,40,10,10,5.0,5.0,0.0
-0.360887929428524,50,20,0,0.0,0.0,1.5
0.0391561162347594,40,0,20,0.0,0.0,0.0
3068.381018070062,65,10,0,5.0,5.0,0.0
-187.37709636644493,40,10,0,0.0,0.0,1.5
-272.49422108953394,65,20,20,5.0,1.0,0.5
7073.9887200212215,50,0,20,1.0,5.0,0.5
-0.104970093129114,50,10,10,0.0,0.0,0.5
3598.763583769362,40,20,20,0.0,5.0,1.5
0.0389396507664406,65,0,10,0.0,0.0,0.5
-2157.330602550944,65,0,20,5.0,1.0,0.0
2737.0549243096557,65,20,20,1.0,5.0,0.5
-1588.6666091027423,65,10,10,5.0,1.0,1.5
1330.7821052505697,65,0,10,0.0,1.0,0.5
6308.084057179759,65,10,0,0.0,5.0,1.5
-843.056464515463,65,20,20,5.0,0.0,0.5
5775.381421608472,65,10,10,1.0,5.0,1.5
1684.5914973897466,40,10,0,0.0,1.0,1.5
8505.047646512992,40,0,10,0.0,5.0,0.5
-980.2573751193386,40,0,20,1.0,0.0,0.0
-2134.161550726322,40,10,10,2.5,0.0,0.0
-4621.632383431376,50,0,20,5.0,0.0,0.5
864.105321991055,40,10,20,1.0,1.0,1.5
-2157.330602550944,65,0,20,5.0,1.0,1.5
-0.0012248172923656,50,20,0,0.0,0.0,0.0
0.0389396507664406,65,0,0,0.0,0.0,1.5
830.8681301048782,40,0,20,1.0,1.0,1.5
1122.218832494289,65,10,20,0.0,1.0,0.5
-422.37958262728006,40,10,10,0.5,0.0,0.0
3658.486844661593,40,10,20,5.0,5.0,1.5
0.0389396507664406,40,0,0,0.0,0.0,0.0
-1.4870992402693013,50,0,10,0.0,0.0,1.5
-994.129659606155,40,10,0,1.0,0.0,0.0
5707.559579644124,65,0,20,1.0,5.0,1.5
3428.519151529049,40,0,20,5.0,5.0,1.5
0.0389396507664406,65,20,10,0.0,0.0,1.5
0.0389396507664406,50,0,10,0.0,0.0,0.0
7817.828652354323,40,20,0,0.0,5.0,0.5
-1030.1745160087953,50,0,10,1.0,0.0,0.0
935.9670941016562,65,20,10,0.0,1.0,1.5
3239.6885866684856,65,0,20,5.0,5.0,0.0
0.0389396507664406,40,10,0,0.0,0.0,0.0
1816.617187491923,50,0,10,0.0,1.0,1.5
-1159.9325368385928,40,0,20,1.0,0.0,1.5
1333.2074106299926,65,0,0,0.0,1.0,1.5
-3588.9128823039564,65,0,20,5.0,0.0,1.5
7952.282939669803,50,0,0,0.0,5.0,0.5
-3164.181472165564,50,10,20,5.0,0.0,1.5
-814.3300393555367,40,10,20,1.0,0.0,1.5
792.1706162012263,50,20,10,1.0,1.0,0.5
605.1557714581252,65,10,0,1.0,1.0,0.0
1824.227096871993,50,0,0,0.0,1.0,0.5
1080.7057407071477,40,10,10,0.1,0.6,0.0
6353.207320791431,65,0,0,0.0,5.0,1.5
4188.320603500399,65,20,10,1.0,5.0,0.0
1113.207437413857,40,10,10,1.0,1.0,0.0
7916.657854362331,50,0,10,0.0,5.0,1.5
-3708.5200252514487,40,10,20,5.0,0.0,1.5
44.78200990668986,65,5,5,0.09,0.08,0.0
-5921.267493975935,40,0,0,5.0,0.0,0.0
-705.9540897633082,65,0,20,1.0,0.0,1.5
-5050.160259696145,40,0,20,5.0,0.0,1.5
-5267.457374239213,50,0,10,5.0,0.0,0.0
1821.0683064836096,40,20,0,0.0,1.0,0.5
0.0389396507664406,40,20,10,0.0,0.0,0.0
6294.511779376528,65,0,20,0.0,5.0,0.0
-18.941376269535837,40,20,0,0.0,0.0,0.5
640.2030219692582,65,0,20,1.0,1.0,1.5
-0.2195143059694341,50,10,0,0.0,0.0,0.5
-1980.886025564052,40,10,20,5.0,1.0,1.5
970.1740158595536,50,10,20,1.0,1.0,1.5
1857.4366124652208,40,10,10,0.0,1.0,0.0
3239.6885866684856,65,0,20,5.0,5.0,1.5
-0.5161212417990013,50,0,0,0.0,0.0,0.5
6325.791196250228,40,10,20,1.0,5.0,1.5
3722.580187993997,50,10,20,5.0,5.0,1.5
1827.082257603413,40,10,10,0.0,1.0,0.5
-4965.779227189326,40,0,20,5.0,0.0,0.0
7756.299918815504,50,20,0,0.0,5.0,1.5
-107.32587133387348,40,10,10,0.13,0.0,0.0
7758.476029198521,40,10,0,0.0,5.0,1.5
-69.6017732683353,40,20,20,0.0,0.0,1.5
-907.328723930047,50,0,20,1.0,0.0,0.5
1321.7793039090272,65,0,20,0.0,1.0,0.0
6332.803144817939,65,0,10,0.0,5.0,0.5
-2122.407606031341,50,10,10,5.0,1.0,0.0
0.0389396507664406,65,10,10,0.0,0.0,0.0
640.2030219692582,65,0,20,1.0,1.0,0.0
0.0389396507664406,65,10,0,0.0,0.0,1.5
918.8073412500158,50,0,20,1.0,1.0,0.5
806.0623562144146,40,20,20,0.0,1.0,1.5
-588.4181706085745,65,10,10,1.0,0.0,1.5
-85.6961668403251,40,0,10,0.0,0.0,0.5
3791.778377848159,50,0,20,5.0,5.0,0.5
-29.66751881556896,40,10,10,0.0,0.0,0.5
-2996.849897258747,65,10,10,5.0,0.0,0.5
2737.0548730780206,65,20,20,1.0,5.0,1.5
7961.564363351769,40,10,0,0.0,5.0,0.0
0.0389396507664406,50,10,10,0.0,0.0,0.0
0.0389396507664406,65,0,10,0.0,0.0,1.5
7023.7897070865065,50,0,10,1.0,5.0,0.0
-423.88647972959666,40,0,0,0.0,0.0,1.5
-3588.912667858166,65,0,20,5.0,0.0,0.0
7073.147482828678,50,0,20,1.0,5.0,1.5
-0.5238892768975347,50,10,10,0.0,0.0,1.5
3649.1911332476993,40,20,20,0.0,5.0,0.5
792.2744630488714,50,20,10,1.0,1.0,0.0
-54.96426591456181,40,10,0,0.0,0.0,0.5
1044.6375710108357,40,8,8,0.41,0.72,0.0
