avg_diff,age_effect,initial_effect,final_effect,mort_effect,prod_effect,fert_effect
3474.4525732856373,40,20,0,5.0,5.0,0.0
2591.8654146997137,65,10,20,5.0,5.0,0.5
152.80459732918388,65,20,10,1.0,0.0,1.5
-6.115057818027836,40,20,10,0.0,0.0,0.5
346.58788928905864,50,0,10,1.0,0.0,1.5
275.00089924581414,40,20,20,1.0,1.0,0.0
1810.0612163191008,65,0,20,0.0,5.0,1.5
1758.4925723977674,50,0,0,5.0,0.0,0.5
328.22665441312927,65,0,0,1.0,0.0,1.5
560.0061536322655,40,0,20,0.0,1.0,1.5
561.9127455404783,65,10,20,1.0,1.0,0.5
459.9870290530824,40,10,20,0.0,1.0,1.5
4251.241048563637,40,0,10,5.0,5.0,0.0
-0.0003729032453492,40,10,20,0.0,0.0,0.0
2362.7741974983815,50,0,0,5.0,1.0,0.0
2101.055881778938,50,10,0,5.0,1.0,0.5
200.65179976363115,40,10,20,1.0,0.0,0.0
4157.475830945344,50,0,10,5.0,5.0,1.5
-15.34509911307822,40,10,20,0.0,0.0,1.5
1492.1579920333745,40,20,0,5.0,1.0,0.5
22.012929600473186,40,0,20,0.0,0.0,1.5
725.347208519921,65,0,0,1.0,1.0,1.5
2362.9455702319096,50,0,0,5.0,1.0,0.5
1912.9540675466212,65,0,0,5.0,1.0,0.0
884.1625013820668,50,0,10,1.0,1.0,1.5
234.19556679693977,40,20,20,0.0,1.0,0.0
1992.465122415347,50,0,20,5.0,1.0,0.0
3599.665680411033,65,0,0,5.0,5.0,1.5
977.4685950593528,40,20,20,0.0,5.0,0.0
319.5223428752062,65,10,20,0.0,1.0,0.0
3599.6657488577184,65,0,0,5.0,5.0,0.0
777.238562760079,65,20,20,0.0,5.0,0.5
301.4317535734431,50,10,10,1.0,0.0,0.5
2261.0454577715377,50,0,20,0.0,5.0,0.5
999.33950891654,40,20,20,1.0,5.0,1.5
1240.1904172450088,40,10,10,5.0,0.0,0.5
293.49609996779617,65,0,10,1.0,0.0,0.5
362.929461231776,40,10,0,1.0,0.0,1.5
1346.8719011129112,65,10,0,5.0,0.0,1.5
328.9322572538261,40,20,20,5.0,1.0,1.5
234.4354175340076,50,20,0,1.0,0.0,1.5
2101.0494907760713,50,10,0,5.0,1.0,0.0
260.7617053030296,40,10,10,0.0,0.47,0.0
3436.3918749184822,65,0,10,5.0,5.0,0.5
87.34835427497458,40,20,20,5.0,0.0,1.5
0.0112022581138404,65,20,0,0.0,0.0,0.0
1783.4664449438171,65,10,0,5.0,1.0,1.5
-0.0003729032453492,65,20,20,0.0,0.0,0.0
4421.240961636878,50,0,0,5.0,5.0,0.0
-3.4184045633100624,40,10,10,0.0,0.0,0.54
841.9975378990226,50,10,20,5.0,0.0,0.0
688.4215008531264,65,0,10,1.0,1.0,0.5
1498.6519339690756,40,20,0,5.0,1.0,0.0
4299.188045138581,40,10,0,5.0,5.0,1.5
561.9127455404783,65,10,20,1.0,1.0,0.0
0.0111399113276178,65,0,10,0.0,0.0,0.0
1021.1438281003536,40,20,20,1.0,5.0,0.0
2261.022031809742,50,0,20,0.0,5.0,0.0
1114.180972095684,40,20,20,5.0,5.0,0.0
4265.32516991021,40,0,10,5.0,5.0,0.5
1827.5767909764909,65,0,0,0.0,5.0,0.0
2148.0466249406645,40,10,0,5.0,1.0,1.5
19.00394601026143,40,20,20,1.0,0.0,1.5
3802.224866958821,40,10,10,5.0,5.0,0.5
208.8202753554004,50,20,20,5.0,0.0,1.5
767.755534764559,40,20,0,1.0,1.0,0.0
0.0362385490781491,50,0,20,0.0,0.0,0.5
692.1653461909486,65,10,0,1.0,1.0,1.5
1532.4056268986562,50,20,0,5.0,1.0,1.5
2174.364746635065,65,0,10,1.0,5.0,0.5
937.63639616515,40,0,10,1.0,1.0,0.5
922.224099459978,40,0,10,1.0,1.0,0.0
2761.848825045618,50,0,0,1.0,5.0,0.0
215.5748868945093,50,20,20,0.0,1.0,0.0
870.43334616564,40,10,10,1.0,1.0,0.5
1857.136738481906,50,10,10,5.0,1.0,0.5
2521.1007456574157,40,0,0,5.0,1.0,0.5
1770.1692259930996,65,0,10,5.0,1.0,0.5
2507.1763489409423,50,20,0,1.0,5.0,1.5
2031.837732601084,40,10,10,2.5,2.5,0.6
1328.0807279826631,65,0,10,5.0,0.0,0.5
1025.5154658022552,50,20,20,1.0,5.0,1.5
1065.0450824063328,65,20,0,5.0,0.0,0.0
1090.607384799822,40,20,20,5.0,5.0,1.5
2287.33637373378,50,0,0,0.0,5.0,0.0
353.72680872307103,65,20,20,5.0,0.0,0.0
0.0111399113276178,65,10,10,0.0,0.0,1.5
-0.0003729032453492,50,10,20,0.0,0.0,0.0
518.5679086822979,50,0,20,0.0,1.0,0.5
528.8181970502699,40,20,0,0.0,1.0,0.0
253.8209022195271,40,20,20,1.0,1.0,1.5
1535.5808608569507,40,10,0,5.0,0.0,1.5
1328.0806626132164,65,0,10,5.0,0.0,0.0
2646.8842974607246,50,0,20,1.0,5.0,0.0
2252.23477372696,40,20,0,0.0,5.0,0.0
1912.9540675466212,65,0,0,5.0,1.0,1.5
761.7889980347122,40,20,0,1.0,1.0,0.5
923.2057791020304,65,10,20,5.0,0.0,0.5
1421.0539111050366,65,20,10,1.0,5.0,1.5
2694.492215079461,50,0,10,1.0,5.0,1.5
1474.1556967414872,65,20,0,5.0,1.0,0.5
855.425690958235,50,0,20,1.0,1.0,0.0
1561.492176154476,40,20,10,0.0,5.0,0.5
0.0111399113276178,65,0,20,0.0,0.0,1.5
4421.410985308515,50,0,0,5.0,5.0,0.5
725.347208519921,65,0,0,1.0,1.0,0.0
2218.1311962586365,65,0,0,1.0,5.0,1.5
356.38278218430025,50,20,10,0.0,1.0,0.5
2174.82685024732,65,20,0,1.0,5.0,0.5
2476.160777329397,40,0,10,0.0,5.0,0.0
2132.898658159488,50,0,10,5.0,1.0,1.5
426.36746807613514,40,10,10,0.5,0.5,0.5
796.276348250694,40,10,20,5.0,0.0,0.0
938.18688614596,50,0,0,1.0,1.0,0.5
524.8766306353385,50,0,0,0.0,1.0,0.0
396.7277394038253,50,0,0,1.0,0.0,0.5
938.012330683295,50,0,0,1.0,1.0,0.0
2002.8555168795533,40,10,20,0.0,5.0,1.5
1533.90914819866,50,0,10,5.0,0.0,1.5
2265.9420041561734,50,10,0,0.0,5.0,0.0
2464.388105369266,40,0,20,0.0,5.0,1.5
383.51215041570583,65,0,0,0.0,1.0,0.0
380.0717324547993,65,0,20,0.0,1.0,1.5
2591.8654146997137,65,10,20,5.0,5.0,0.0
458.5206406935217,50,10,20,0.0,1.0,1.5
352.2105834645707,40,20,20,5.0,1.0,0.0
225.10257842904977,40,20,0,1.0,0.0,0.5
1466.830872904675,65,0,0,5.0,0.0,1.5
2521.287664561914,40,20,0,1.0,5.0,0.0
928.6632609852716,65,20,10,5.0,1.0,0.0
1992.485441001594,50,0,20,5.0,1.0,0.5
3807.880537132241,40,10,10,5.0,5.0,0.0
-0.1083026784925778,50,20,0,0.0,0.0,1.5
0.0112022581138404,40,0,20,0.0,0.0,0.0
3431.1812455424983,65,10,0,5.0,5.0,0.0
10.828949489089013,40,10,0,0.0,0.0,1.5
508.47282518833725,65,20,20,5.0,1.0,0.5
2646.9066396746693,50,0,20,1.0,5.0,0.5
-0.0052873816404286,50,10,10,0.0,0.0,0.5
956.1310671781762,40,20,20,0.0,5.0,1.5
0.0111399113276178,65,0,10,0.0,0.0,0.5
1721.4694575432454,65,0,20,5.0,1.0,0.0
866.4299079332473,65,20,20,1.0,5.0,0.5
1673.309933268073,65,10,10,5.0,1.0,1.5
382.7680809387594,65,0,10,0.0,1.0,0.5
1814.1994541073464,65,10,0,0.0,5.0,1.5
353.72674612976346,65,20,20,5.0,0.0,0.5
2130.5588151364855,65,10,10,1.0,5.0,1.5
549.9844017928037,40,10,0,0.0,1.0,1.5
2491.2707163539,40,0,10,0.0,5.0,0.5
328.8682029789634,40,0,20,1.0,0.0,0.0
677.7711555668386,40,10,10,2.5,0.0,0.0
1407.9489596949538,50,0,20,5.0,0.0,0.5
667.564933762489,40,10,20,1.0,1.0,1.5
1721.4694575432454,65,0,20,5.0,1.0,1.5
-0.0003729032453492,50,20,0,0.0,0.0,0.0
0.0111399113276178,65,0,0,0.0,0.0,1.5
936.0324178115962,40,0,20,1.0,1.0,1.5
319.5223428752062,65,10,20,0.0,1.0,0.5
147.3088926588126,40,10,10,0.5,0.0,0.0
2968.0545838115245,40,10,20,5.0,5.0,1.5
0.0111399113276178,40,0,0,0.0,0.0,0.0
0.2701708733983565,50,0,10,0.0,0.0,1.5
352.873946340268,40,10,0,1.0,0.0,0.0
2151.870912989194,65,0,20,1.0,5.0,1.5
4045.393330943041,40,0,20,5.0,5.0,1.5
0.0111399113276178,65,20,10,0.0,0.0,1.5
0.0111399113276178,50,0,10,0.0,0.0,0.0
2246.2022354627557,40,20,0,0.0,5.0,0.5
346.3328770532943,50,0,10,1.0,0.0,0.0
262.9760384242452,65,20,10,0.0,1.0,1.5
3351.269653163741,65,0,20,5.0,5.0,0.0
0.0111399113276178,40,10,0,0.0,0.0,0.0
523.1446332348494,50,0,10,0.0,1.0,1.5
354.58914232156826,40,0,20,1.0,0.0,1.5
383.51215041570583,65,0,0,0.0,1.0,1.5
1289.142260141832,65,0,20,5.0,0.0,1.5
2287.5109031006195,50,0,0,0.0,5.0,0.5
883.4377390340122,50,10,20,5.0,0.0,1.5
184.90264448934008,40,10,20,1.0,0.0,1.5
490.835381276964,50,20,10,1.0,1.0,0.5
692.1653461909486,65,10,0,1.0,1.0,0.0
525.0519055442475,50,0,0,0.0,1.0,0.5
364.2356164498729,40,10,10,0.1,0.6,0.0
1827.5767909764909,65,0,0,0.0,5.0,1.5
1421.0539111050366,65,20,10,1.0,5.0,0.0
873.9540439811982,40,10,10,1.0,1.0,0.0
2277.307667534484,50,0,10,0.0,5.0,1.5
780.6804671135183,40,10,20,5.0,0.0,1.5
57.91155477208889,65,5,5,0.09,0.08,0.0
1853.155275855056,40,0,0,5.0,0.0,0.0
288.35514208392857,65,0,20,1.0,0.0,1.5
1452.4794290261518,40,0,20,5.0,0.0,1.5
1533.785187196677,50,0,10,5.0,0.0,0.0
523.0531576529899,40,20,0,0.0,1.0,0.5
0.0111399113276178,40,20,10,0.0,0.0,0.0
1810.0612163191008,65,0,20,0.0,5.0,0.0
-5.6772147052416955,40,20,0,0.0,0.0,0.5
679.472341759982,65,0,20,1.0,1.0,1.5
0.0230031286278631,50,10,0,0.0,0.0,0.5
1293.983736132803,40,10,20,5.0,1.0,1.5
675.5945211169309,50,10,20,1.0,1.0,1.5
533.9457363381829,40,10,10,0.0,1.0,0.0
3351.269653163741,65,0,20,5.0,5.0,1.5
0.1866289631749396,50,0,0,0.0,0.0,0.5
2237.1217148429996,40,10,20,1.0,5.0,1.5
2923.247098679435,50,10,20,5.0,5.0,1.5
530.6346425173786,40,10,10,0.0,1.0,0.5
1402.453397530615,40,0,20,5.0,0.0,0.0
2228.5497300907887,50,20,0,0.0,5.0,1.5
38.13053619832125,40,10,10,0.13,0.0,0.0
2299.0687264117228,40,10,0,0.0,5.0,1.5
-20.53009075457659,40,20,20,0.0,0.0,1.5
323.9301695298888,50,0,20,1.0,0.0,0.5
380.0717324547993,65,0,20,0.0,1.0,0.0
1821.5257868774615,65,0,10,0.0,5.0,0.5
1857.3839190945464,50,10,10,5.0,1.0,0.0
0.0111399113276178,65,10,10,0.0,0.0,0.0
679.472341759982,65,0,20,1.0,1.0,0.0
0.0111399113276178,65,10,0,0.0,0.0,1.5
855.4494120146175,50,0,20,1.0,1.0,0.5
213.4437463570375,40,20,20,0.0,1.0,1.5
283.65355906910065,65,10,10,1.0,0.0,1.5
15.732949965234155,40,0,10,0.0,0.0,0.5
3971.026665387862,50,0,20,5.0,5.0,0.5
-3.1668028061886844,40,10,10,0.0,0.0,0.5
1250.312678143993,65,10,10,5.0,0.0,0.5
866.429893098087,65,20,20,1.0,5.0,1.5
2289.2819907121043,40,10,0,0.0,5.0,0.0
