NPV,age_effect,initial_effect,final_effect,mort_effect,prod_effect,fert_effect
321.87094488421803,40,20,0,5.0,5.0,0.0
171.1778794365627,40,20,0,5.0,5.0,0.0
95.5681893119014,40,20,0,5.0,5.0,0.0
55.8099896384952,40,20,0,5.0,5.0,0.0
33.910127736881044,40,20,0,5.0,5.0,0.0
21.30228254220116,40,20,0,5.0,5.0,0.0
253.0930518472931,65,10,20,5.0,5.0,0.5
135.78615406294418,65,10,20,5.0,5.0,0.5
76.73170701919568,65,10,20,5.0,5.0,0.5
45.53052761251091,65,10,20,5.0,5.0,0.5
28.230546604083475,65,10,20,5.0,5.0,0.5
18.183037316654833,65,10,20,5.0,5.0,0.5
22.257150825466336,65,20,10,1.0,0.0,1.5
11.549021450845215,65,20,10,1.0,0.0,1.5
6.265328393358666,65,20,10,1.0,0.0,1.5
3.5459760460824494,65,20,10,1.0,0.0,1.5
2.086838155431478,65,20,10,1.0,0.0,1.5
1.272042809138146,65,20,10,1.0,0.0,1.5
11.62962656143398,40,20,10,0.0,0.0,0.5
4.944544184204177,40,20,10,0.0,0.0,0.5
2.127207508914785,40,20,10,0.0,0.0,0.5
0.9191030763374994,40,20,10,0.0,0.0,0.5
0.3927024608341659,40,20,10,0.0,0.0,0.5
0.1602906626195958,40,20,10,0.0,0.0,0.5
31.775451093763937,50,0,10,1.0,0.0,1.5
17.640658276568665,50,0,10,1.0,0.0,1.5
10.434794814380574,50,0,10,1.0,0.0,1.5
6.551723022593779,50,0,10,1.0,0.0,1.5
4.337114809901032,50,0,10,1.0,0.0,1.5
3.0020906188237184,50,0,10,1.0,0.0,1.5
60.79320071998343,40,20,20,1.0,1.0,0.0
30.970315688749373,40,20,20,1.0,1.0,0.0
16.4222250283005,40,20,20,1.0,1.0,0.0
9.042615232753375,40,20,20,1.0,1.0,0.0
5.152193042899387,40,20,20,1.0,1.0,0.0
3.0242208530925607,40,20,20,1.0,1.0,0.0
140.88872229492415,65,0,20,0.0,5.0,1.5
80.64191599668715,65,0,20,0.0,5.0,1.5
49.36702326590124,65,0,20,0.0,5.0,1.5
32.154750288252735,65,0,20,0.0,5.0,1.5
22.109026715115576,65,0,20,0.0,5.0,1.5
15.907147054593771,65,0,20,0.0,5.0,1.5
164.16055376941705,50,0,0,5.0,0.0,0.5
93.7616016308029,50,0,0,5.0,0.0,0.5
57.60005658141497,50,0,0,5.0,0.0,0.5
37.90645165979867,50,0,0,5.0,0.0,0.5
26.514912688239036,50,0,0,5.0,0.0,0.5
19.52333897103239,50,0,0,5.0,0.0,0.5
30.923074037678376,65,0,0,1.0,0.0,1.5
18.029829056165617,65,0,0,1.0,0.0,1.5
11.372359464461056,65,0,0,1.0,0.0,1.5
7.719107829041593,65,0,0,1.0,0.0,1.5
5.584253802884168,65,0,0,1.0,0.0,1.5
4.257161076876043,65,0,0,1.0,0.0,1.5
117.64729395125354,40,0,20,0.0,1.0,1.5
57.887272008761336,40,0,20,0.0,1.0,1.5
30.27865308859311,40,0,20,0.0,1.0,1.5
16.940354063807273,40,0,20,0.0,1.0,1.5
10.16198490981937,40,0,20,0.0,1.0,1.5
6.520152696710714,40,0,20,0.0,1.0,1.5
52.18866637078412,65,10,20,1.0,1.0,0.5
28.150810795369654,65,10,20,1.0,1.0,0.5
16.00754784906254,65,10,20,1.0,1.0,0.5
9.563706777687829,65,10,20,1.0,1.0,0.5
5.972317392747171,65,10,20,1.0,1.0,0.5
3.8743111769652456,65,10,20,1.0,1.0,0.5
89.78093456669117,40,10,20,0.0,1.0,1.5
43.3174314365876,40,10,20,0.0,1.0,1.5
21.997585745026512,40,10,20,0.0,1.0,1.5
11.789295721201764,40,10,20,0.0,1.0,1.5
6.665874723322883,40,10,20,0.0,1.0,1.5
3.9617304598076455,40,10,20,0.0,1.0,1.5
361.91277750100625,40,0,10,5.0,5.0,0.0
205.9263135051195,40,0,10,5.0,5.0,0.0
125.43451028994168,40,0,10,5.0,5.0,0.0
81.41489325385649,40,0,10,5.0,5.0,0.0
55.87677300786846,40,0,10,5.0,5.0,0.0
40.18809958083652,40,0,10,5.0,5.0,0.0
-1.9824717992734723e-05,40,10,20,0.0,0.0,0.0
-1.7975497810821675e-05,40,10,20,0.0,0.0,0.0
-1.57407111109213e-05,40,10,20,0.0,0.0,0.0
-1.3521358341307954e-05,40,10,20,0.0,0.0,0.0
-1.1464988519450377e-05,40,10,20,0.0,0.0,0.0
-9.61366560814226e-06,40,10,20,0.0,0.0,0.0
214.30896602089183,50,0,0,5.0,1.0,0.0
123.97704059190986,50,0,0,5.0,1.0,0.0
77.34865042546582,50,0,0,5.0,1.0,0.0
51.799706482271326,50,0,0,5.0,1.0,0.0
36.915482279638944,50,0,0,5.0,1.0,0.0
27.707993546102884,50,0,0,5.0,1.0,0.0
182.87005217220084,50,10,0,5.0,1.0,0.5
100.3981171238583,50,10,0,5.0,1.0,0.5
58.40914684747319,50,10,0,5.0,1.0,0.5
35.86292021914173,50,10,0,5.0,1.0,0.5
23.088862789884192,50,10,0,5.0,1.0,0.5
15.466512070201448,50,10,0,5.0,1.0,0.5
28.705930218374103,40,10,20,1.0,0.0,0.0
14.844886736409354,40,10,20,1.0,0.0,0.0
8.019206080731323,40,10,20,1.0,0.0,0.0
4.51322582500648,40,10,20,1.0,0.0,0.0
2.635406674269205,40,10,20,1.0,0.0,0.0
1.588423594449936,40,10,20,1.0,0.0,0.0
352.1107762626622,50,0,10,5.0,5.0,1.5
200.99781694717151,50,0,10,5.0,5.0,1.5
